index,question,img_opt,A,B,C,D,Answer
146,6. What will be the value of the given determinant ∣∣∣∣1096110213−6952013∣∣∣∣?,,a) constant other than 0,b) 0,c) 100,d) -1997,Answer: b
147,7. What is the value of r = 1Σn f(x) if  f(r) = ∣∣∣∣∣2r(6r2–1)(4r3–2nr)xyzn(n+1)n2(2n+3)n3(n+1)∣∣∣∣∣  where n € N?,,a) 1,b) -1,c) 0,d) 2,Answer: c
148,8. If f(x) = ∣∣∣∣∣secxcos2x1cosxcos2xcos2xsec2x+cotxcosecxcosec2xcos2x∣∣∣∣∣ then what is the value of 0∫π/2 f(x) dx = (π/4 + 8/15)?,,a) (π/4 + 8/15),b) (π/4 – 8/15),c) (π/4 + 8/15),d) (-π/4 + 8/15),Answer: c
149,9. What will be the value of ∣∣∣∣0100–i500–ii–1000i–1000i–5001000–i0∣∣∣∣?,,a) 100,b) 500,c) 1000,d) 0,Answer: d
150,"10. If f(x) = ∣∣∣∣xn1xn+5xn+2xpxp+6x2npx2n+5∣∣∣∣ = 0,then what will be the value of p?",,a) xn,b) (n + 1),c) Either xn or (n + 1),d) Both xn and (n + 1),Answer: d
151,"1. Which of the following is the formula for finding the area of a triangle with the vertices (x1,y1), (x2,y2), (x3,y3).",,a) Δ=∥∥∥∥x1x2x3y1y2y3111∥∥∥∥ ,b) Δ=12∥∥∥∥x1x2x3y1y2y3101∥∥∥∥ ,c) Δ=12∥∥∥∥x1x2x3y11y3111∥∥∥∥ ,d) Δ=12∥∥∥∥x1x2x3y1y2y3111∥∥∥∥ ,Answer: d
152,"2. What is the area of the triangle whose vertices are (0,1), (0,2), (1,5)?",,a) 1 sq.unit,b) 2 sq.units,c) 13 sq.units,d) 12 sq.units,Answer: d
153,3. The area of the triangle formed by three collinear points is zero.,,a) True,b) False,c) NONE,d) NONE,Answer: a
154,"4. Find the value of k for which (1,2), (3,0), (2,k) are collinear.",,a) 0,b) -1,c) 2,d) 1,Answer: d
155,"5. What is the area of the triangle if the vertices are (0,2), (0, 0), (3, 0)?",,a) 1 sq.unit,b) 5 sq.units,c) 2 sq.units,d) 3 sq.units,Answer: d
156,"6. Find the equation of the line joining A(2,1) and B(6,3) using determinants.",,a) 2y-x=0,b) 2y-x=0,c) y-x=0,d) y-2x=0,Answer: a
157,"7. Find the value of k if the area is 72 sq. units and the vertices are (1,2), (3,5), (k,0).",,a) 83 ,b) –83 ,c) –73 ,d) –85 ,Answer: b
158,"8. Find the area of the triangle with the vertices (2,3), (4,1), (5,0).",,a) 3 sq.units,b) 2 sq.units,c) 0,d) 1 sq.unit,Answer: c
159,"9. Find the equation of the line joining A(5,1), B(4,0) using determinants.",,a) 4x-y=4,b) x-4y=4,c) x-y=4,d) x-y=0,Answer: c
160,"10. Find the value of k for which the points (3,2), (1,2), (5,k) are collinear.",,a) 2,b) 5,c) 4,d) 9,Answer: a
161,1. Which of the following is the formula for cofactor of an element aij ?,,a) Aij=(1)i+j Mij,b) Aij=(-2)i+j Mij,c) Aij=(-1)i+j Mij,d) Aij=(-1)i-j Mij,Answer: c
162,2. What is the minor of the element 5 in the determinant Δ=∣∣∣∣127539464∣∣∣∣?,,a) -34,b) 34,c) -17,d) 21,Answer: a
163,3. Find the minor and cofactor respectively for the element 3 in the determinant Δ=∣∣∣1356∣∣∣.,,"a) M21=-5, A21=-5","b) M21=5, A21=-5","c) M21=-5, A21=5","d) M21=5, A21=5",Answer: b
164,4. Find the minor of the element 1 in the determinant Δ=∣∣∣1358∣∣∣.,,a) 5,b) 1,c) 8,d) 3,Answer: c
165,5. Find the cofactor of element -3 in the determinant Δ=∣∣∣∣1−32451492∣∣∣∣.,,a) -4,b) 4,c) -5,d) -3,Answer: a
166,"6. If Δ=∣∣∣∣a11a21a31a12a22a32a13a23a33∣∣∣∣, then the determinant in terms of cofactors Aij can be expressed as a11 A11+a21 A21+a31 A31.",,a) True,b) False,c) NONE,d) NONE,Answer: a
167,7. Find the minor of the element 2 in the determinant Δ=∣∣∣1293∣∣∣?,,a) 3,b) 9,c) 1,d) 2,Answer: b
168,8. For which of the elements in the determinant Δ=∣∣∣∣12−78−39−645∣∣∣∣ the cofactor is -37.,,a) 4,b) 1,c) -6,d) -3,Answer: d
169,"9. For which of the following elements in the determinant Δ=∣∣∣2487∣∣∣, the minor of the element is 2?",,a) 2,b) 7,c) 4,d) 8,Answer: b
170,"10. For which of the following element in the determinant Δ=∣∣∣∣565−52−68−18∣∣∣∣ , the minor and the cofactor both are zero.",,a) -5,b) 2,c) -6,d) 8,Answer: b
171,1. Which of the following conditions holds true for a system of equations to be consistent?,,a) It should have one or more solutions,b) It should have no solutions,c) It should have exactly one solution,d) It should have exactly two solutions,Answer: a
172,2. A given systems of equations is said to be inconsistent if _________________,,a) it has one or more solutions,b) it has infinitely many solutions,c) it has no solutions,d) it has exactly one solution,Answer: c
173,3. Find the value of x and y for the given system of equations.,,"a) x=27, y=247 ","b) x=-27, y=-247 ","c) x=-27, y=247 ","d) x=27, y=-247 ",c) NONE
174,4. The given system of equation is inconsistent.,,a) True,b) False,c) NONE,d) NONE,Answer: b
175,5. The given system of equations is consistent.,,a) True,b) False,c) NONE,d) NONE,Answer: a
176,"6. Find the value of x, y, z for the given system of equations.",,"a) x=1258, y=152, z=158 ","b) x=1258, y=152, z=-158 ","c) x=1258, y=-152, z=-158 ","d) x=-1258, y=152, z=-158 ",c) NONE
177,7. Find the values of x and y for the given system of equations.,,"a) x=75, y=35 ","b) x=-75, y=-35 ","c) x=-75, y=\frac{3}{5} ","d) x=\frac{7}{5}, y=-\frac{3}{5} ",c) NONE
178,8. The cost of 8kg apple and 3kg is Rs 70. The cost of 10kg apple and 6kg orange is 90. Find the cost of each item if x is the cost of apples per kg and y is the cost of oranges per kg.,,"a) x=2, y=3","b) x=3, y=2","c) x=2, y=2","d) x=3, y=3",Answer: b
179,"9. For a given system of equations if |A|=0 and (adj A)B≠O(zero matrix), then which of the following is correct regarding the solutions of the given equations?",,a) there will be exactly two solutions,b) there will be exactly one solution,c) the solution does not exist,d) there are one or more solutions,Answer: c
180,10. Find the value of x and y for the given system of equations.,,"a) x=-\frac{5}{4}, y=-\frac{16}{9} ","b) x=\frac{5}{4}, y=-\frac{9}{16} ","c) x=-\frac{5}{4}, y=\frac{16}{9} ","d) x=\frac{5}{4}, y=\frac{9}{16} ",c) NONE
181,1. What is the mathematical expression for the definition of continuity?,,a) limx→c⁡f(x) = f(c) ∀ c ∈  a,"b) limx→c⁡f(x) = f(c) ∀ c ∈  (a,b)",c) limx→c⁡f(x) = f(c) ∀ c ∈  b,"d) limx→a⁡f(x) = f(c) ∀ c ∈  (a,b)",Answer: b
182,"2. What is the mathematical expression for f is continuous on (a,b)?",,a) limx→c⁡f(x) = f(c) ∀ c ∈ a,"b) limx→c⁡f(x) = f(c) ∀ c ∈ (a,b)",c) limx→c⁡f(x) = f(c) ∀ c ∈ b,"d) limx→a⁡f(x) = f(c) ∀ c ∈ (a,b)",Answer: b
183,"3. What is the mathematical expression for f is right continuous on (a,b)?",,a) limx→a+⁡f(x)=f(a),b) limx→a+⁡f(x)=f(b),c) limx→b+⁡f(x)=f(a),d) limx→a-⁡f(x)=f(a),Answer: a
184,"4. What is the mathematical expression for f is left continuous on (a,b)?",,a) limx→a-⁡f(x)=f(a),b) limx→b-⁡f(x)=f(b),c) limx→a+⁡f(x)=f(b),d) limx→b+⁡f(x)=f(b),Answer: b
185,5. f(x) = c ∀ x ∈ R is continuous on R for a fixed c ∈ R.,,a) False,b) True,c) NONE,d) NONE,Answer: b
186,6. What are the kinds of discontinuity?,,a) Minor and major kinds,b) Increment and decrement kinds,c) First and second kinds,d) Zero and one kinds,Answer: c
187,7. Is f(x) = {sin2xx1ifx≠0ifx=0  a continuous function?,,a) Only in some cases,b) Cannot be determined,c) Continuous,d) Not continuous,Answer: d
188,"8. What is/are conditions for a function to be continuous on (a,b)?",,"a) The function is continuous at each point of (a,b)",b) The function is right continuous,c) The function is left continuous,"d) Right continuous, left continuous, continuous at each point of (a,b)",Answer: d
189,9. limx→a+⁡f(x)=f(a) then f(x) is right continuous at x = a.,,a) True,b) False,c) NONE,d) NONE,Answer: a
190,10. limx→a⁡-f(x)=f(b) then f(x) is left continuous at x = a.,,a) False,b) True,c) NONE,d) NONE,Answer: b
191,1. Find the derivative of f(x) = sin(x2).,,a) -sin(x2),b) 2xcos(x2),c) -2xcos(x2),d) -2xsin(x2),Answer: b
192,2. What is derivative of xn?,,a) n,b) nxn,c) nxn-1,d) nxn-2,Answer: c
193,3. Find derivative of tan(x+4).,,a) sec2(x+4),b) 4 sec2(x+4),c) 4x sec2(x+4),d) sec2(x),Answer: a
194,4. What is value of dydx if x-y = 1?,,a) 1,b) 2,c) -1,d) 2,Answer: a
195,5. Value after differentiating cos (sinx) is _________,,a) sin (sinx).cosx,b) -sin (sinx).cosx,c) sin (sinx),d) sin (cosx).cosx,Answer: b
196,6. Value after differentiating cos (x2+5) is ________,,a) 5.sin (x2+5),b) -sin (x2+5).2x,c) sin (x2+5).2x,d) cos (x2+5).2x,Answer: b
197,7. Find dydx of 2x+3y = sinx.,,a) cosx−23 ,b) cosx−22 ,c) cosx−32 ,d) sinx−23 ,Answer: a
198,8. What is derivative of cotx?,,a) tanx,b) –sec2x,c) –cosec2x,d) cosec2x,Answer: c
199,"9. If y=tan−1(3x−x31−3x2),−13√<x<−13√ ",,a) 3,b) 31+x ,c) –31+x2 ,d) 31+x2 ,Answer: d
200,10. Find dydx of y = sin (ax + b).,,a) a.cos (ax + b),b) b.sin (ax + b),c) a.sin (ax + b),d) a.cos (ax + b),Answer: a
201,1. Differentiate 8e-x+2ex w.r.t x.,,a) 2e-x+8ex,b) 2ex+8e-x,c) 2e-x-8ex,d) 2ex-8e-x,Answer: d
202,2. Differentiate 8ecos2x w.r.t x.,,a) 16 sin⁡2x ecos2x,b) -16 sin⁡2x ecos2x,c) -16 sin⁡2x e-cos⁡2x,d) 16 sin⁡2x e-cos⁡2x,Answer: b
203,3. Differentiate 3 sin-1⁡(e2x) w.r.t x.,,a) 6e2x1−e4x√ ,b) 2e2x1−e4x√ ,c) –6e2x1−e4x√ ,d) 6e−2x1−e4x√ ,Answer: a
204,4. Differentiate log⁡(log⁡x5) w.r.t x.,,a) –5xlogx5 ,b) 1logx5 ,c) 5xlogx5 ,d) –1xlogx5 ,Answer: c
205,5. Differentiate 3e3x3 w.r.t x.,,a) 27x-2 e3x3,b) 27x2 e3x3,c) -27x2 e3x3,d) -27x-2 e3x3,Answer: b
206,6. Differentiate 5ex2 tan⁡x w.r.t x.,,a) 5ex2 (1+tan⁡x)2,b) -5ex2 (1+tan⁡x)2,c) 5ex2 (1-tan⁡x)2,d) -5ex2 (1-tan⁡x)2,Answer: a
207,7. Differentiate log⁡(e5x3) w.r.t x.,,a) −15x2e5x3 ,b) 15x2e5x3 ,c) 15x2,d) -15x2,Answer: c
208,8. Differentiate 7 log⁡(x4.5ex3) w.r.t x.,,a) 7(4+3x3)x2 ,b) 7(4−3x3)x ,c) –7(4+3x3)x ,d) 7(4+3x3)x ,Answer: d
209,9. Differentiate 2ex4 log⁡x w.r.t x.,,a) \frac{2e^{x^4} (4x^4 log⁡x+1)}{x^2} ,b) \frac{e^{x^4} (4x^4 log⁡x+1)}{x} ,c) \frac{2e^{x^4} (4x^4 log⁡x+1)}{x} ,d) –\frac{2e^{x^4} (4x^4 log⁡x+1)}{x} ,Answer: c
210,10. Differentiate log⁡(cos⁡(sin⁡(e^{x^3}))) w.r.t x.,,"a) –3x^2 \,e^{x^3} \,cos⁡e^{x^3} \,tan⁡(sin⁡e^{x^3}) ","b) 3x^2 \,e^{x^3} \,cos⁡e^{x^3} \,tan⁡(sin⁡e^{x^3}) ","c) –3e^{x^3} \,cos⁡e^{x^3} \,cos⁡(sin⁡e^{x^3}) ","d) –x^2 e^{x^3} \,cos⁡e^{x^3} \,tan⁡(sin⁡e^{x^3}) ",Answer: a
211,1. Differentiate (log⁡2x)sin⁡3x with respect to x.,,a) (3 cos⁡3x log⁡(log⁡2x)+\frac{sin⁡3x}{x log⁡2x}sin3xxlog2x),"b) log⁡2x^{sin⁡3x} \,(3 \,cos⁡3x \,log⁡(log⁡2x)+\frac{sin⁡3x}{x \,log⁡2x})log2xsin3x(3cos3xlog(log2x)+sin3xxlog2x) ","c) –(3 \,cos⁡3x \,log⁡(log⁡2x)+\frac{sin⁡3x}{x log⁡2x})(3cos3xlog(log2x)+sin3xxlog2x) ","d) \frac{3 \,cos⁡3x \,log⁡(log⁡2x)+\frac{sin⁡3x}{x log⁡2x}}{log⁡2x^{sin⁡3x}}3cos3xlog(log2x)+sin3xxlog2xlog2xsin3x ",Answer: b
212,2. Differentiate 4xex with respect to x.,,a) xex e-x (x log⁡x+1),b) -4xex-1 ex (x log⁡x+1),c) 4xex ex (x log⁡x+1),d) 4xex-1 ex (x log⁡x+1),Answer: d
213,3. Differentiate 9tan⁡3x with respect to x.,,a) 9tan⁡3x (3 log⁡9 sec2⁡x),b) 9tan⁡3x (3 log⁡3 sec2⁡⁡x),c) 9tan⁡3x (3 log⁡9 sec⁡x),d) -9tan⁡3x (3 log⁡9 sec2⁡⁡x),Answer: a
214,4. Differentiate (cos⁡3x)3x with respect to x.,,a) (cos⁡3x)x (3 log⁡(cos⁡3x) – 9x tan⁡3x),b) (cos⁡3x)3x (3 log⁡(cos⁡3x) + 9x tan⁡3x),c) (cos⁡3x)3x (3 log⁡(cos⁡3x) – 9x tan⁡3x),d) (cos⁡3x)3x (log⁡(cos⁡3x) + 9 tan⁡3x),Answer: c
215,5. Differentiate 7x(2e2x) with respect to x.,,a) 14e2x x(2e2x) (2 log⁡x+\frac{1}{x}),b) 14x(2e2x) (2 log⁡x+\frac{1}{x}),c) 14e2x x(2e2x) (2 log⁡x-\frac{1}{x}),d) 14e2x x(2e2x) (log⁡x-\frac{1}{x}),Answer: a
216,6. Differentiate e^{4x^5}.2x^{log⁡x^2} with respect to x.,,a) e^{4x^5}.x^{log⁡x^2-1} (10x^5+log⁡2x^2) ,b) 4e^{4x^5}.x^{log⁡x^2-1} (10x^5+log⁡2x^2) ,c) 4e^{4x^5}.x^{log⁡x^2-1} (10x^5-log⁡2x^2) ,d) x^{log⁡x^2 -1} (10x^4+log⁡2x^2) ,Answer: b
217,7. Differentiate 2(tan⁡x)cot⁡x with respect to x.,,a) 2 csc2⁡x.tan⁡xcot⁡x (1-log⁡(tan⁡x)),b) csc2⁡x.tan⁡xcot⁡x (1-log⁡(tan⁡x)),c) 2 csc2⁡x.tan⁡xcot⁡x (1+log⁡(tan⁡x)),d) 2tan⁡xcot⁡x (1-log⁡(tan⁡x)),Answer: a
218,8. Differentiate (3 cos⁡x)x with respect to x.,,a) (3 cos⁡x)x (log⁡(3 cos⁡x)+x tan⁡x),b) (3 cos⁡x)x (log⁡(3 cos⁡x)+tan⁡x),c) (cos⁡x)^x (log⁡(3 cos⁡x)-x tan⁡x),d) (3 cos⁡x)x (log⁡(3 cos⁡x)-x tan⁡x),Answer: d
219,9. Differentiate \sqrt{\frac{x+1}{3x-1}} with respect to x.,,a) \frac{-2}{(3x-1)\sqrt{(3x-1)(x+1)}} ,b) \frac{2}{(3x-1)\sqrt{(3x-1)(x+1)}} ,c) \frac{1}{(3x-1)\sqrt{(3x-1)(x+1)}} ,d) \frac{-2}{\sqrt{(3x-1)(x+1)}} ,Answer: a
220,10. Differentiate x3ex with respect to x.,,a) 3e3x (3 log⁡x+\frac{1}{x}),b) x3e3x.3e3x (3 log⁡x-\frac{1}{x}),c) x3e3x (3 log⁡x+\frac{1}{x}),d) x3e3x.3e3x (3 log⁡x+\frac{1}{x}),Answer: d
221,1. Find the second order derivative of y=9 log⁡ t3.,,a) 27t2 ,b) –27t2 ,c) –1t2 ,d) –272t2 ,Answer: b
222,"2. Find d2ydx2, if y=tan2⁡x+3 tan⁡x.",,a) sec2⁡⁡x tan⁡x (2 tan⁡x+sec⁡x+3),b) 2 sec2⁡⁡x tan⁡x (2 tan⁡x-sec⁡x+3),c) 2 sec2⁡⁡x tan⁡x (2 tan⁡x+sec⁡x+3),d) 2 sec2⁡⁡x tan⁡x (2 tan⁡x+sec⁡x-3),Answer: c
223,"3. If y=6x2+3, then (dydx)2=d2ydx2.",,a) True,b) False,c) NONE,d) NONE,Answer: b
224,4. Find the second order derivative of y=2e2x-3 log⁡(2x-3).,,a) 8e2x+1(2x−3)2 ,b) 8e2x–12(2x−3)2 ,c) e2x+12(2x−3)2 ,d) 8e2x+12(2x−3)2 ,Answer: d
225,"5. Find d2ydx2, if y=2 sin-1⁡(cos⁡x).",,a) 0,b) sin-1(1cosx) ,c) 1,d) -1,Answer: a
226,"6. If y=log⁡(2x3), find d2ydx2.",,a) –2x2 ,b) 3x2 ,c) 2x2 ,d) –3x2 ,Answer: d
227,7. Find d2ydx2-6 dydx if y=4x4+2x.,,a) (4x2+8x−1) ,b) 12(4x2+8x−1) ,c) –12(4x2+8x−1) ,d) 12(4x2−8x−1) ,Answer: d
228,8. Find the second order derivative y=e2x+sin-1⁡ex .,,a) e2x+ex(1−e2x)3/2 ,b) 4e2x+\frac{1}{(1-e^2x)^{3/2}} ,c) 4e2x–\frac{e^x}{(1-e^2x)^{3/2}} ,d) 4e2x+\frac{e^x}{(1-e^2x)^{3/2}} ,Answer: d
229,9. Find the second order derivative of y=3x2 1 + log⁡(4x),,a) 3+\frac{1}{x^2} ,b) 3-\frac{1}{x^2} ,c) 6-\frac{1}{x^2} ,d) 6+\frac{1}{x^2} ,Answer: c
230,10. Find the second order derivative if y=e2x2.,,a) 4e2x2 (4x2+3),b) 4e2x2 (4x2-1),c) 4e2x2 (4x2+1),d) e2x2 (4x2+1),Answer: c
231,"1. Function f should be _____ on [a,b] according to Rolle’s theorem.",,a) continuous,b) non-continuous,c) integral,d) non-existent,Answer: a
232,"2. Function f is differential on (a,b) according to Rolle’s theorem.",,a) True,b) False,c) NONE,d) NONE,Answer: a
233,3. What is the relation between f(a) and f(b) according to Rolle’s theorem?,,a) Equals to,b) Greater than,c) Less than,d) Unequal,Answer: a
234,4. Does Rolle’s theorem applicable if f(a) is not equal to f(b)?,,a) Yes,b) No,c) Under particular conditions,d) May be,Answer: b
235,5. Another form of Rolle’s theorem for the differential condition is _____,,"a) f is differentiable on (a,ah)","b) f is differentiable on (a,a-h)","c) f is differentiable on (a,a/h)","d) f is differentiable on (a,a+h)",Answer: d
236,6. Another form of Rolle’s theorem for the continuous condition is _____,,"a) f is continuous on [a,a-h] ","b) f is continuous on [a,h] ","c) f is continuous on [a,a+h] ","d) f is continuous on [a,ah] ",Answer: c
237,7. What is the relation between f(a) and f(h) according to another form of Rolle’s theorem?,,a) f(a) < f(a+h),b) f(a) = f(a+h),c) f(a) = f(a-h),d) f(a) > f(a+h),Answer: b
238,"8. Function f is not continuous on [a,b] to satisfy Lagrange’s mean value theorem.",,a) False,b) True,c) NONE,d) NONE,Answer: a
239,9. What are/is the conditions to satify Lagrange’s mean value theorem?,,"a) f is continuous on [a,b] ","b) f is differentiable on (a,b)","c) f is differentiable and continuous on (a,b)","d) f is differentiable and non-continuous on (a,b)",Answer: c
240,"10. Function f is differentiable on [a,b] to satisfy Lagrange’s mean value theorem.",,a) True,b) False,c) NONE,d) NONE,Answer: a
241,11. Lagrange’s mean value theorem is also called as _____,,a) Euclid’s theorem,b) Rolle’s theorem,c) a special case of Rolle’s theorem,d) the mean value theorem,Answer: d
242,12. Rolle’s theorem is a special case of _____,,a) Euclid’s theorem,b) another form of Rolle’s theorem,c) Lagrange’s mean value theorem,d) Joule’s theorem,Answer: c
243,"13. Is Rolle’s theorem applicable to f(x) = tan x on [ π4,5π4 ]?",,a) Yes,b) No,c) NONE,d) NONE,Answer: b
244,14. What is the formula for Lagrange’s theorem?,,a) f’(c) = f(a)+f(b)b−a ,b) f’(c) = f(b)−f(a)b−a ,c) f’(c) = f(a)+f(b)b+a ,d) f’(c) = f(a)−f(b)b+a ,Answer: b
245,"15. Find ’C’ using Lagrange’s mean value theorem, if f(x) = ex, a = 0, b = 1.",,a) ee-1,b) e-1,c) loge+1e ,d) loge−1e ,Answer: d
246,"1. What is the slope of the tangent to the curve y = 2x/(x2 + 1) at (0, 0)?",,a) 0,b) 1,c) 2,d) 3,Answer: c
247,2. The value of f’(x) is -1 at the point P on a continuous curve y = f(x). What is the angle which the tangent to the curve at P makes with the positive direction of x axis?,,a) π/2,b) π/4,c) 3π/4,d) 3π/2,Answer: c
248,3. What will be the differential function of √(x2 + 2)?,,a) x√(x2 + 2) dx,b) x/√(x2 + 2) dx,c) x/√(x2 – 2) dx,d) -x/√(x2 + 2) dx,Answer: b
249,4. What will be the differential function of log(x2 + 4)?,,a) 2x/(x2 + 4) dx,b) 2x/(x2 – 4) dx,c) -2x/(x2 + 4) dx,d) -2x/(x2 – 4) dx,Answer: a
250,5. What will be the average rate of change of the function [y = 16 – x2] between x = 3 and x = 4?,,a) 7,b) -7,c) 9,d) -9,Answer: b
251,6. What will be the average rate of change of the function [y = 16 – x2] at x = 4?,,a) -8,b) 8,c) -9,d) Depends on the value of x,Answer: a
252,7. What will be the value of the co-ordinate whose position of a particle moving along the parabola y2 = 4x at which the rate at of increase of the abscissa is twice the rate of increase of the ordinate?,,"a) (1, 1)","b) (2, 2)","c) (3, 3)","d) (4, 4)",Answer: d
253,"8. The time rate of change of the radius of a sphere is 1/2π. When it’s radius is 5cm, what will be the rate of change of the surface of the sphere with time?",,a) 10 sq cm,b) 20 sq cm,c) 30 sq cm,d) 40 sq cm,Answer: b
254,"9. A solid cube changes its volume such that its shape remains unchanged. For such a cube of unit volume, what will be the value of rate of change of volume?",,a) 3/8*(rate of change of area of any face of the cube),b) 3/4*(rate of change of area of any face of the cube),c) 3/10*(rate of change of area of any face of the cube),d) 3/2*(rate of change of area of any face of the cube),Answer: d
255,10. A 5 ft long man walks away from the foot of a 12(½) ft high lamp post at the rate of 3 mph. What will be the rate at which the shadow increases?,,a) 0mph,b) 1mph,c) 2mph,d) 3mph,Answer: c
256,"11. A ladder 20 ft long leans against a vertical wall. If the top end slides downwards at the rate of 2ft per second, what will be the rate at which the slope of the ladder changes?",,a) -19/54,b) -21/54,c) -23/54,d) -25/54,Answer: d
257,"12. A particle moving in a straight line covers a distance of x cm in t second, where x = t3 + 6t2 – 15t + 18. What will be the velocity of the particle at the end of 2 seconds?",,a) 20cm/sec,b) 22cm/sec,c) 21cm/sec,d) 23cm/sec,Answer: c
258,"13. A particle moving in a straight line covers a distance of x cm in t second, where x = t3 + 6t2 – 15t + 18. What will be the acceleration of the particle at the end of 2 seconds?",,a) 22cm/sec2,b) 23cm/sec2,c) 24cm/sec2,d) 25cm/sec2,Answer: c
259,"14. A particle moving in a straight line covers a distance of x cm in t second, where x = t3 + 6t2 – 15t + 18. When does the particle stop?",,a) 1/4 second,b) 1/3 second,c) 1 second,d) 1/2 second,Answer: c
260,"15. Water is flowing into a right circular conical vessel, 45 cm deep and 27 cm in diameter at the rate of 11 cc per minute. How fast is the water level rising when the water is 30 cm deep?",,a) 0.033cm/minute,b) 0.043cm/minute,c) 0.053cm/minute,d) 0.045cm/minute,Answer: b
261,1. What is the nature of function f(x) = 7x-4 on R?,,a) Increasing,b) Decreasing,c) Strictly Increasing,d) Increasing and Decreasing,Answer:  c
262,2. What is the nature of function f(x) = x3 – 3x2 + 4x on R?,,a) Increasing,b) Decreasing,c) Constant,d) Increasing and Decreasing,Answer: a
263,3. Find the interval in which function f(x) = x2 – 4x + 5 is increasing.,,"a) (2, ∞)","b) (-∞, 2)","c) (3, ∞)","d) (-∞, ∞)",Answer: a
264,4. Find the interval in which function f(x) = x2 – 4x + 5 is decreasing.,,"a) (2, ∞)","b) (-∞, 2)","c) (3, ∞)","d) (-∞, ∞)",Answer: b
265,"5. Find the interval in which function f(x) = sinx+cosx, 0 ≤ x ≤ 2π is decreasing.",,"a) (π/4, 5π/4)","b) (-π/4, 5π/4)","c) (π/4, -5π/4)","d) (-π/4, π/4)",Answer: a
266,6. Find the interval in which function f(x) = sinx+cosx is increasing.,,"a) (5π/4, 2π)","b) [0, π/4) and (5π/4, 2π] ","c) (π/4, -5π/4)","d) (-π/4, π/4)",Answer: b
267,7. Is the function f(x) = 3x+10 is increasing on R?,,a) True,b) False,c) NONE,d) NONE,Answer: a
268,8. Find the intervals in which f(x) = 2x2 – 3x is increasing.,,"a) (-1/4, ∞)","b) (-3/4, ∞)","c) (1/4, ∞)","d) (3/4, ∞)",Answer: d
269,9. Find the intervals in which f(x) = x2 + 2x – 5 is strictly increasing.,,a) x>1,b) x<-1,c) x>-1,d) x>2,Answer: c
270,10. Nature of the function f(x) = e2x is _______,,a) increasing,b) decreasing,c) constant,d) increasing and decreasing,Answer: a
271,1. Find the tangent to the curve y=3x2+x+4 at x=3.,,a) 19,b) 1.9,c) 18,d) 16,Answer: a
272,2. Find the slope of the tangent to the curve x=4 cos3⁡3θ and y=5 sin3⁡⁡3θ at θ=π/4.,,a) –34 ,b) –14 ,c) 54 ,d) –54 ,Answer: c
273,3. Find the equation of all the lines having slope 0 which are tangent to the curve y=6x2-7x.,,a) 2449 ,b) –2449 ,c) 4924 ,d) –4924 ,Answer: d
274,4. Find the points on the curve y=3x4+2x3-1 at which the tangents is parallel to the x-axis.,,"a) (0,1) and (−12,−1516) ","b) (0,-1) and (−12,−1516) ","c) (0,-1) and (12,−1516) ","d) (0,1) and (12,1516) ",Answer: b
275,5. Find the tangent to the curve y=7x3-2x2 at the point x=2.,,a) 67,b) 76,c) 46,d) 64,Answer: b
276,6. Find the equation of the normal to the curve x=12 cosec⁡θ and y=2 sec⁡θ at x=π/4 .,,a) 16 ,b) -6,c) 6,d) –16 ,Answer: c
277,"7. Find the equation of the tangent of the tangent to the curve 2x2+3y2=3 at the point(3,4).",,a) x+2y=11,b) x-2y=11,c) -x+2y=11,d) x-2y=-11,Answer: a
278,8. Find the point at which the tangent to the curve y=4x2+1−−−−−−√-2 has its slope2.,,"a) (112√,-1) and (112√,-1)","b) (-112√,3) and (-112√,-1)","c) (112√,2) and (-112√,-2)","d) (112√,3) and (112√,-2)",Answer: c
279,9. Find the tangent to the curve y=5x4-3x2+2x-1 at x=1.,,a) 15,b) 14,c) 16,d) 17,Answer: c
280,10. Find the slope of the normal to the curve y=4x2-14x+5 at x=5.,,a) –126 ,b) 126 ,c) 26,d) -26,Answer: a
281,1. Find the approximate value of 64.3−−−−√.,,a) 8.0675,b) 8.03465,c) 8.01875,d) 8.0665,Answer: c
282,2. Find the approximate value of 49.1−−−−√.,,a) 7.0142,b) 7.087942,c) 7.022,d) 7.00714,Answer: d
283,"3. Find the approximate value of f(5.03), where f(x)=4x2-7x+2.",,a) 67.99,b) 56.99,c) 67.66,d) 78.09,Answer: a
284,4. Find the approximate value of 11−−√.,,a) 3.34,b) 3.934,c) 3.0034,d) 3.544,Answer: a
285,5. What will be the approximate change in the surface area of a cube of side xm caused by increasing the side by 2%.,,a) 0.24x,b) 2.4x2,c) 0.4x2,d) 0.24x2,Answer: d
286,"6. Find the approximate value of f(4.04), where f(x)=7x3+6x2-4x+3.",,a) 346.2,b) 544.345,c) 546.2,d) 534.2,Answer: c
287,7. Find the approximate value of (127)1/3.,,a) 5.0267,b) 2.0267,c) 8.0267,d) 5.04,Answer: a
288,8. Find the approximate change in the volume of cube of side xm caused by increasing the side by 6%.,,a) 0.18x,b) 0.18x3,c) 0.18x2,d) 1.8x3,Answer: b
289,9. Find the approximate value of (82)1/4.,,a) 3.025,b) 3.05,c) 3.00925,d) 3.07825,Answer: c
